,text
1354,"<|endoftext|>Generate a random integer between `a` and `b`: random.randint(a, b)<|endoftext|>"
1355,"<|endoftext|>Generate random integers between 0 and 9: print((random.randint(0, 9)))<|endoftext|>"
1356,"<|endoftext|>reverse a string `a` by 2 characters at a time: """""""""""".join(reversed([a[i:i + 2] for i in range(0, len(a), 2)]))<|endoftext|>"
1357,"<|endoftext|>transform time series `df` into a pivot table aggregated by column 'Close' using column `df.index.date` as index and values of column `df.index.time` as columns: pd.pivot_table(df, index=df.index.date, columns=df.index.time, values='Close')<|endoftext|>"
1358,"<|endoftext|>check if the third element of all the lists in a list ""items"" is equal to zero.: any(item[2] == 0 for item in items)<|endoftext|>"
1359,<|endoftext|>Find all the lists from a lists of list 'items' if third element in all sub-lists is '0': [x for x in items if x[2] == 0]<|endoftext|>
1360,"<|endoftext|>sort dictionary of dictionaries `dic` according to the key 'Fisher': sorted(list(dic.items()), key=lambda x: x[1]['Fisher'], reverse=True)<|endoftext|>"
1361,"<|endoftext|>plot a data logarithmically in y axis: plt.yscale('log', nonposy='clip')<|endoftext|>"
1363,<|endoftext|>list the contents of a directory '/home/username/www/': os.listdir('/home/username/www/')<|endoftext|>
1364,<|endoftext|>list all the contents of the directory 'path'.: os.listdir('path')<|endoftext|>
1365,"<|endoftext|>merge a pandas data frame `distancesDF` and column `dates` in pandas data frame `datesDF` into single: pd.concat([distancesDF, datesDF.dates], axis=1)<|endoftext|>"
1366,<|endoftext|>get value of first index of each element in list `a`: [x[0] for x in a]<|endoftext|>
1367,<|endoftext|>python how to get every first element in 2 dimensional list `a`: [i[0] for i in a]<|endoftext|>
1368,"<|endoftext|>remove line breaks from string `textblock` using regex: re.sub('(?<=[a-z])\\r?\\n', ' ', textblock)<|endoftext|>"
1369,"<|endoftext|>Open gzip-compressed file encoded as utf-8 'file.gz' in text mode: gzip.open('file.gz', 'rt', encoding='utf-8')<|endoftext|>"
1370,"<|endoftext|>test if either of strings `a` or `b` are members of the set of strings, `['b', 'a', 'foo', 'bar']`: set(['a', 'b']).issubset(['b', 'a', 'foo', 'bar'])<|endoftext|>"
1371,"<|endoftext|>Check if all the values in a list `['a', 'b']` are present in another list `['b', 'a', 'foo', 'bar']`: all(x in ['b', 'a', 'foo', 'bar'] for x in ['a', 'b'])<|endoftext|>"
1372,"<|endoftext|>Remove characters ""!@#$"" from a string `line`: line.translate(None, '!@#$')<|endoftext|>"
1373,"<|endoftext|>Remove characters ""!@#$"" from a string `line`: line = re.sub('[!@#$]', '', line)<|endoftext|>"
1374,"<|endoftext|>Remove string ""1"" from string `string`: string.replace('1', '')<|endoftext|>"
1375,"<|endoftext|>Remove character `char` from a string `a`: a = a.replace(char, '')<|endoftext|>"
1376,"<|endoftext|>Remove characters in `b` from a string `a`: a = a.replace(char, '')<|endoftext|>"
1377,"<|endoftext|>Remove characters in '!@#$' from a string `line`: line = line.translate(string.maketrans('', ''), '!@#$')<|endoftext|>"
1378,"<|endoftext|>binarize the values in columns of list `order` in a pandas data frame: pd.concat([df, pd.get_dummies(df, '', '').astype(int)], axis=1)[order]<|endoftext|>"
1379,"<|endoftext|>store integer 3, 4, 1 and 2 in a list: [3, 4, 1, 2]<|endoftext|>"
1380,<|endoftext|>define global variable `something` with value `bob`: globals()['something'] = 'bob'<|endoftext|>
1381,"<|endoftext|>insert spaces before capital letters in string `text`: re.sub('([a-z](?=[A-Z])|[A-Z](?=[A-Z][a-z]))', '\\1 ', text)<|endoftext|>"
1382,<|endoftext|>print unicode string `ex\xe1mple` in uppercase: print('ex\xe1mple'.upper())<|endoftext|>
1383,<|endoftext|>get last element of string splitted by '\\' from list of strings `list_dirs`: [l.split('\\')[-1] for l in list_dirs]<|endoftext|>
1384,"<|endoftext|>combine two sequences into a dictionary: dict(zip(keys, values))<|endoftext|>"
1385,<|endoftext|>customize the time format in python logging: formatter = logging.Formatter('%(asctime)s;%(levelname)s;%(message)s')<|endoftext|>
1386,"<|endoftext|>Replace comma with dot in a string `original_string` using regex: new_string = re.sub('""(\\d+),(\\d+)""', '\\1.\\2', original_string)<|endoftext|>"
1387,<|endoftext|>call a function `otherfunc` inside a bash script `test.sh` using subprocess: subprocess.call('test.sh otherfunc')<|endoftext|>
1389,"<|endoftext|>remove multiple spaces in a string `foo`: """""" """""".join(foo.split())<|endoftext|>"
1390,<|endoftext|>convert decimal 8 to a list of its binary values: list('{0:0b}'.format(8))<|endoftext|>
1391,<|endoftext|>convert decimal integer 8 to a list of its binary values as elements: [int(x) for x in list('{0:0b}'.format(8))]<|endoftext|>
1392,<|endoftext|>convert decimal `8` to binary list: [int(x) for x in bin(8)[2:]]<|endoftext|>
1393,"<|endoftext|>get key-value pairs in dictionary `my_dictionary` for all keys in list `my_list` in the order they appear in `my_list`: dict(zip(my_list, map(my_dictionary.get, my_list)))<|endoftext|>"
1394,"<|endoftext|>cartesian product of `x` and `y` array points into single array of 2d points: numpy.dstack(numpy.meshgrid(x, y)).reshape(-1, 2)<|endoftext|>"
1395,<|endoftext|>selenium wait for driver `driver` 60 seconds before throwing a NoSuchElementExceptions exception: driver.implicitly_wait(60)<|endoftext|>
1396,<|endoftext|>selenium webdriver switch to frame 'frameName': driver.switch_to_frame('frameName')<|endoftext|>
1397,<|endoftext|>format current date to pattern '{%Y-%m-%d %H:%M:%S}': time.strftime('{%Y-%m-%d %H:%M:%S}')<|endoftext|>
1398,"<|endoftext|>sort list `['14:10:01', '03:12:08']`: sorted(['14:10:01', '03:12:08'])<|endoftext|>"
1399,"<|endoftext|>find all occurrences of regex pattern '(?:\\w+(?:\\s+\\w+)*,\\s)+(?:\\w+(?:\\s\\w+)*)' in string `x`: re.findall('(?:\\w+(?:\\s+\\w+)*,\\s)+(?:\\w+(?:\\s\\w+)*)', x)<|endoftext|>"
1400,"<|endoftext|>remove duplicate rows from dataframe `df1` and calculate their frequency: df1.groupby(['key', 'year']).size().reset_index()<|endoftext|>"
1401,"<|endoftext|>sort dictionary `dictionary` in ascending order by its values: sorted(list(dictionary.items()), key=operator.itemgetter(1))<|endoftext|>"
1402,"<|endoftext|>Iterate over dictionary `d` in ascending order of values: sorted(iter(d.items()), key=lambda x: x[1])<|endoftext|>"
1403,"<|endoftext|>iterate over a python dictionary, ordered by values: sorted(list(dictionary.items()), key=lambda x: x[1])<|endoftext|>"
1404,"<|endoftext|>split 1d array `a` into 2d array at the last element: np.split(a, [-1])<|endoftext|>"
1405,"<|endoftext|>convert dataframe `df` into a pivot table using column 'order' as index and values of column 'sample' as columns: df.pivot(index='order', columns='sample')<|endoftext|>"
1406,<|endoftext|>select all rows from pandas DataFrame 'df' where the value in column 'A' is greater than 1 or less than -1 in column 'B'.: df[(df['A'] > 1) | (df['B'] < -1)]<|endoftext|>
1407,"<|endoftext|>Get the zip output as list from the lists `[1, 2, 3]`, `[4, 5, 6]`, `[7, 8, 9]`: [list(a) for a in zip([1, 2, 3], [4, 5, 6], [7, 8, 9])]<|endoftext|>"
1408,<|endoftext|>select rows of dataframe `df` whose value for column `A` is `foo`: print(df.loc[df['A'] == 'foo'])<|endoftext|>
1409,<|endoftext|>select rows whose column value in column `column_name` does not equal `some_value` in pandas data frame: df.loc[df['column_name'] != some_value]<|endoftext|>
1410,<|endoftext|>select rows from a dataframe `df` whose value for column `column_name` is not in `some_values`: df.loc[~df['column_name'].isin(some_values)]<|endoftext|>
1411,<|endoftext|>select all rows whose values in a column `column_name` equals a scalar `some_value` in pandas data frame object `df`: df.loc[df['column_name'] == some_value]<|endoftext|>
1412,"<|endoftext|>Select rows whose value of the ""B"" column is ""one"" or ""three"" in the DataFrame `df`: print(df.loc[df['B'].isin(['one', 'three'])])<|endoftext|>"
1413,"<|endoftext|>repeat every character for 7 times in string 'map': """""""""""".join(map(lambda x: x * 7, 'map'))<|endoftext|>"
1414,<|endoftext|>delete an empty directory: os.rmdir()<|endoftext|>
1415,"<|endoftext|>recursively delete all contents in directory `path`: shutil.rmtree(path, ignore_errors=False, onerror=None)<|endoftext|>"
1416,<|endoftext|>recursively remove folder `name`: os.removedirs(name)<|endoftext|>
1417,"<|endoftext|>Add row `['8/19/2014', 'Jun', 'Fly', '98765']` to dataframe `df`: df.loc[len(df)] = ['8/19/2014', 'Jun', 'Fly', '98765']<|endoftext|>"
1418,<|endoftext|>list all files in a current directory: glob.glob('*')<|endoftext|>
1419,<|endoftext|>List all the files that doesn't contain the name `hello`: glob.glob('[!hello]*.txt')<|endoftext|>
1420,<|endoftext|>List all the files that matches the pattern `hello*.txt`: glob.glob('hello*.txt')<|endoftext|>
1421,<|endoftext|>evaluate the expression '20<30': eval('20<30')<|endoftext|>
1422,<|endoftext|>Copy list `old_list` and name it `new_list`: new_list = [x[:] for x in old_list]<|endoftext|>
1423,"<|endoftext|>convert scientific notation of variable `a` to decimal: """"""{:.50f}"""""".format(float(a[0] / a[1]))<|endoftext|>"
1424,<|endoftext|>convert dataframe `df` to integer-type sparse object: df.to_sparse(0)<|endoftext|>
1425,<|endoftext|>display attribute `attr` for each object `obj` in list `my_list_of_objs`: print([obj.attr for obj in my_list_of_objs])<|endoftext|>
1426,<|endoftext|>count the number of True values associated with key 'success' in dictionary `d`: sum(1 if d['success'] else 0 for d in s)<|endoftext|>
1427,<|endoftext|>get the sum of values associated with the key ‘success’ for a list of dictionaries `s`: sum(d['success'] for d in s)<|endoftext|>
1428,<|endoftext|>get complete path of a module named `os`: imp.find_module('os')[1]<|endoftext|>
1429,<|endoftext|>get logical xor of `a` and `b`: (bool(a) != bool(b))<|endoftext|>
1430,<|endoftext|>get logical xor of `a` and `b`: ((a and (not b)) or ((not a) and b))<|endoftext|>
1431,<|endoftext|>get logical xor of `a` and `b`: (bool(a) ^ bool(b))<|endoftext|>
1432,"<|endoftext|>get logical xor of `a` and `b`: xor(bool(a), bool(b))<|endoftext|>"
1433,<|endoftext|>get the logical xor of two variables `str1` and `str2`: return (bool(str1) ^ bool(str2))<|endoftext|>
1434,<|endoftext|>Sort list `my_list` in alphabetical order based on the values associated with key 'name' of each dictionary in the list: my_list.sort(key=operator.itemgetter('name'))<|endoftext|>
1435,"<|endoftext|>split a string `a , b; cdf`  using both commas and semicolons as delimeters: re.split('\\s*,\\s*|\\s*;\\s*', 'a , b; cdf')<|endoftext|>"
1436,"<|endoftext|>Split a string `string` by multiple separators `,` and `;`: [t.strip() for s in string.split(',') for t in s.split(';')]<|endoftext|>"
1437,"<|endoftext|>make a function `f` that calculates the sum of two integer variables `x` and `y`: f = lambda x, y: x + y<|endoftext|>"
1438,<|endoftext|>Create list `instancelist` containing 29 objects of type MyClass: instancelist = [MyClass() for i in range(29)]<|endoftext|>
1439,"<|endoftext|>Make a dictionary from list `f` which is in the format of four sets of  ""val, key, val"": {f[i + 1]: [f[i], f[i + 2]] for i in range(0, len(f), 3)}<|endoftext|>"
1440,"<|endoftext|>convert bytes string `s`  to an unsigned integer: struct.unpack('>q', s)[0]<|endoftext|>"
1441,"<|endoftext|>concatenate a series `students` onto a dataframe `marks` with pandas: pd.concat([students, pd.DataFrame(marks)], axis=1)<|endoftext|>"
1442,<|endoftext|>Sort list `alist` in ascending order based on each of its elements' attribute `foo`: alist.sort(key=lambda x: x.foo)<|endoftext|>
1443,<|endoftext|>BeautifulSoup select 'div' elements with an id attribute value ending with sub-string '_answer' in HTML parsed string `soup`: soup.select('div[id$=_answer]')<|endoftext|>
1444,"<|endoftext|>sympy solve matrix of linear equations `(([1, 1, 1, 1], [1, 1, 2, 3]))` with variables `(x, y, z)`: linsolve(Matrix(([1, 1, 1, 1], [1, 1, 2, 3])), (x, y, z))<|endoftext|>"
1445,"<|endoftext|>best way to extract subset of key-value pairs with keys matching 'l', 'm', or 'n' from python dictionary object: {k: bigdict[k] for k in list(bigdict.keys()) & {'l', 'm', 'n'}}<|endoftext|>"
1446,"<|endoftext|>extract subset of key-value pairs with keys as `('l', 'm', 'n')` from dictionary object `bigdict`: dict((k, bigdict[k]) for k in ('l', 'm', 'n'))<|endoftext|>"
1447,"<|endoftext|>Get items from a dictionary `bigdict` where the keys are present in `('l', 'm', 'n')`: {k: bigdict.get(k, None) for k in ('l', 'm', 'n')}<|endoftext|>"
1448,"<|endoftext|>Extract subset of key value pair for keys 'l', 'm', 'n' from `bigdict` in python 3: {k: bigdict[k] for k in ('l', 'm', 'n')}<|endoftext|>"
1449,<|endoftext|>Selenium get the entire `driver` page text: driver.page_source<|endoftext|>
1450,"<|endoftext|>extracting column `1` and `9` from array `data`: data[:, ([1, 9])]<|endoftext|>"
1451,"<|endoftext|>remove all square brackets from string 'abcd[e]yth[ac]ytwec': re.sub('\\[.*?\\]', '', 'abcd[e]yth[ac]ytwec')<|endoftext|>"
1453,"<|endoftext|>find all substrings in string `mystring` composed only of letters `a` and `b` where each `a` is directly preceded and succeeded by `b`: re.findall('\\b(?:b+a)+b+\\b', mystring)<|endoftext|>"
1454,<|endoftext|>convert list `lst` of tuples of floats to list `str_list` of tuples of strings of floats in scientific notation with eight decimal point precision: str_list = [tuple('{0:.8e}'.format(flt) for flt in sublist) for sublist in lst]<|endoftext|>
1455,<|endoftext|>convert list of sublists `lst` of floats to a list of sublists `str_list` of strings of integers in scientific notation with 8 decimal points: str_list = [['{0:.8e}'.format(flt) for flt in sublist] for sublist in lst]<|endoftext|>
1456,<|endoftext|>Create a tuple `t` containing first element of each tuple in tuple `s`: t = tuple(x[0] for x in s)<|endoftext|>
1457,<|endoftext|>obtain the current day of the week in a 3 letter format from a datetime object: datetime.datetime.now().strftime('%a')<|endoftext|>
1458,<|endoftext|>get the ASCII value of a character 'a' as an int: ord('a')<|endoftext|>
1459,<|endoftext|>get the ASCII value of a character u'あ' as an int: ord('\u3042')<|endoftext|>
1460,<|endoftext|>get the ASCII value of a character as an int: ord()<|endoftext|>
1461,<|endoftext|>decode JSON string `u` to a dictionary: json.load(u)<|endoftext|>
1462,"<|endoftext|>Delete mulitple columns `columnheading1`, `columnheading2` in pandas data frame `yourdf`: yourdf.drop(['columnheading1', 'columnheading2'], axis=1, inplace=True)<|endoftext|>"
1463,"<|endoftext|>get a list of of elements resulting from splitting user input by commas and stripping white space from each resulting string `s`: [s.strip() for s in input().split(',')]<|endoftext|>"
1464,<|endoftext|>create a list containing the digits values from binary string `x` as elements: [int(d) for d in str(bin(x))[2:]]<|endoftext|>
1465,<|endoftext|>get the max string length in list `i`: max(len(word) for word in i)<|endoftext|>
1466,"<|endoftext|>get the maximum string length in nested list `i`: len(max(i, key=len))<|endoftext|>"
1467,<|endoftext|>execute os command `my_cmd`: os.system(my_cmd)<|endoftext|>
1468,<|endoftext|>sort list `mylist` alphabetically: mylist.sort(key=lambda x: x.lower())<|endoftext|>
1469,<|endoftext|>sort list `mylist` in alphabetical order: mylist.sort(key=str.lower)<|endoftext|>
1470,<|endoftext|>sort a list of strings 'mylist'.: mylist.sort()<|endoftext|>
1471,<|endoftext|>sort a list of strings `list`: list.sort()<|endoftext|>
1472,"<|endoftext|>Set multi index on columns 'Company' and 'date' of data frame `df` in pandas.: df.set_index(['Company', 'date'], inplace=True)<|endoftext|>"
1473,"<|endoftext|>get the attribute `x` from object `your_obj`: getattr(your_obj, x)<|endoftext|>"
1474,"<|endoftext|>remove first word in string `s`: s.split(' ', 1)[1]<|endoftext|>"
1475,<|endoftext|>save xlsxwriter file in 'app/smth1/smth2/Expenses01.xlsx' path and assign to variable `workbook`: workbook = xlsxwriter.Workbook('app/smth1/smth2/Expenses01.xlsx')<|endoftext|>
1476,<|endoftext|>save xlsxwriter file to 'C:/Users/Steven/Documents/demo.xlsx' path: workbook = xlsxwriter.Workbook('C:/Users/Steven/Documents/demo.xlsx')<|endoftext|>
1477,"<|endoftext|>change legend size to 'x-small' in upper-left location: pyplot.legend(loc=2, fontsize='x-small')<|endoftext|>"
1478,"<|endoftext|>change legend font size with matplotlib.pyplot to 6: plot.legend(loc=2, prop={'size': 6})<|endoftext|>"
1479,"<|endoftext|>split list `l` into `n` sized lists: [l[i:i + n] for i in range(0, len(l), n)]<|endoftext|>"
1480,"<|endoftext|>split a list `l` into evenly sized chunks `n`: [l[i:i + n] for i in range(0, len(l), n)]<|endoftext|>"
1481,<|endoftext|>check if character '-' exists in a dataframe `df` cell 'a': df['a'].str.contains('-')<|endoftext|>
1482,"<|endoftext|>remove all non -word, -whitespace, or -apostrophe characters from string `doesn't this mean it -technically- works?`: re.sub(""[^\\w' ]"", '', ""doesn't this mean it -technically- works?"")<|endoftext|>"
1483,"<|endoftext|>find all digits between two characters `\xab` and `\xbb`in a string `text`: print(re.findall('\\d+', '\n'.join(re.findall('\xab([\\s\\S]*?)\xbb', text))))<|endoftext|>"
1484,"<|endoftext|>plot data of column 'index' versus column 'A' of dataframe `monthly_mean` after resetting its index: monthly_mean.reset_index().plot(x='index', y='A')<|endoftext|>"
1485,"<|endoftext|>get the output of a subprocess command `echo ""foo""` in command line: subprocess.check_output('echo ""foo""', shell=True)<|endoftext|>"
1486,<|endoftext|>Encode each value to 'UTF8' in the list `EmployeeList`: [x.encode('UTF8') for x in EmployeeList]<|endoftext|>
1487,"<|endoftext|>combine two columns `foo` and `bar` in a pandas data frame: pandas.concat([df['foo'].dropna(), df['bar'].dropna()]).reindex_like(df)<|endoftext|>"
1488,<|endoftext|>generate a list of consecutive integers from 0 to 8: list(range(9))<|endoftext|>
1489,"<|endoftext|>convert list `myintegers` into a unicode string: """""""""""".join(chr(i) for i in myintegers)<|endoftext|>"
1490,"<|endoftext|>inherit from class `Executive`: super(Executive, self).__init__(*args)<|endoftext|>"
1491,<|endoftext|>Remove the string value `item` from a list of strings `my_sequence`: [item for item in my_sequence if item != 'item']<|endoftext|>
1492,<|endoftext|>randomly select an item from list `foo`: random.choice(foo)<|endoftext|>
1493,"<|endoftext|>check if all of the following items in list `['a', 'b']` are in a list `['a', 'b', 'c']`: set(['a', 'b']).issubset(['a', 'b', 'c'])<|endoftext|>"
1494,"<|endoftext|>Check if all the items in a list `['a', 'b']` exists in another list `l`: set(['a', 'b']).issubset(set(l))<|endoftext|>"
1495,"<|endoftext|>set the stdin of the process 'grep f' to be b'one\ntwo\nthree\nfour\nfive\nsix\n': p = Popen(['grep', 'f'], stdout=PIPE, stdin=PIPE, stderr=STDOUT)
grep_stdout = p.communicate(input='one\ntwo\nthree\nfour\nfive\nsix\n')[0]<|endoftext|>"
1496,"<|endoftext|>set the stdin of the process 'grep f' to be 'one\ntwo\nthree\nfour\nfive\nsix\n': p = subprocess.Popen(['grep', 'f'], stdout=subprocess.PIPE, stdin=subprocess.PIPE)
p.stdin.write('one\ntwo\nthree\nfour\nfive\nsix\n')
p.communicate()[0]
p.stdin.close()<|endoftext|>"
1497,<|endoftext|>to convert a list of tuples `list_of_tuples` into list of lists: [list(t) for t in zip(*list_of_tuples)]<|endoftext|>
1498,<|endoftext|>group a list `list_of_tuples` of tuples by values: zip(*list_of_tuples)<|endoftext|>
1499,"<|endoftext|>merge pandas dataframe `x` with columns 'a' and 'b' and dataframe `y` with column 'y': pd.merge(y, x, on='k')[['a', 'b', 'y']]<|endoftext|>"
1500,"<|endoftext|>Split string with comma (,) and remove whitespace from a string 'my_string': [item.strip() for item in my_string.split(',')]<|endoftext|>"
1501,<|endoftext|>Get all object attributes of object `obj`: print((obj.__dict__))<|endoftext|>
1502,<|endoftext|>Get all object attributes of an object: dir()<|endoftext|>
1503,<|endoftext|>Get all object attributes of an object: dir()<|endoftext|>
1504,<|endoftext|>pygobject center window `window`: window.set_position(Gtk.WindowPosition.CENTER)<|endoftext|>
1505,"<|endoftext|>change the size of the sci notation to '30' above the y axis in matplotlib `plt`: plt.rc('font', **{'size': '30'})<|endoftext|>"
1506,<|endoftext|>check if datafram `df` has any NaN vlaues: df.isnull().values.any()<|endoftext|>
1507,<|endoftext|>unpack the arguments out of list `params` to function `some_func`: some_func(*params)<|endoftext|>
1508,<|endoftext|>decode encodeuricomponent in GAE: urllib.parse.unquote(h.path.encode('utf-8')).decode('utf-8')<|endoftext|>
1509,<|endoftext|>get proportion of rows in dataframe `trace_df` whose values for column `ratio` are greater than 0: (trace_df['ratio'] > 0).mean()<|endoftext|>
1510,<|endoftext|>convert a set of tuples `queryresult` to a string `emaillist`: emaillist = '\n'.join(item[0] for item in queryresult)<|endoftext|>
1511,<|endoftext|>convert a set of tuples `queryresult` to a list of strings: [item[0] for item in queryresult]<|endoftext|>
1512,<|endoftext|>convert a list of tuples `queryresult` to a string from the first indexes.: emaillist = '\n'.join([item[0] for item in queryresult])<|endoftext|>
1513,"<|endoftext|>get the widget which has currently the focus in tkinter instance `window2`: print(('focus object class:', window2.focus_get().__class__))<|endoftext|>"
1514,<|endoftext|>Initialize a list `a` with `10000` items and each item's value `0`: a = [0] * 10000<|endoftext|>
1515,"<|endoftext|>Keep only unique words in list of words `words` and join into string: print(' '.join(sorted(set(words), key=words.index)))<|endoftext|>"
1516,"<|endoftext|>generate 6 random numbers between 1 and 50: random.sample(range(1, 50), 6)<|endoftext|>"
1517,"<|endoftext|>generate six unique random numbers in the range of 1 to 49.: random.sample(range(1, 50), 6)<|endoftext|>"
1518,"<|endoftext|>lowercase keys and values in dictionary `{'My Key': 'My Value'}`: {k.lower(): v.lower() for k, v in list({'My Key': 'My Value'}.items())}<|endoftext|>"
1519,"<|endoftext|>lowercase all keys and values in dictionary `{'My Key': 'My Value'}`: dict((k.lower(), v) for k, v in {'My Key': 'My Value'}.items())<|endoftext|>"
1520,"<|endoftext|>Convert each key,value pair in a dictionary `{'My Key': 'My Value'}` to lowercase: dict((k.lower(), v.lower()) for k, v in {'My Key': 'My Value'}.items())<|endoftext|>"
1521,<|endoftext|>sorting the lists in list of lists `data`: [sorted(item) for item in data]<|endoftext|>
1522,"<|endoftext|>SQLite get a list of column names from cursor object `cursor`: names = list(map(lambda x: x[0], cursor.description))<|endoftext|>"
1523,<|endoftext|>get the absolute path of a running python script: os.path.abspath(__file__)<|endoftext|>
1524,"<|endoftext|>sort 2d array `matrix` by row with index 1: sorted(matrix, key=itemgetter(1))<|endoftext|>"
1525,"<|endoftext|>Get all indexes of a letter `e` from a string `word`: [index for index, letter in enumerate(word) if letter == 'e']<|endoftext|>"
1526,<|endoftext|>decode utf-8 code `x` into a raw unicode literal: print(str(x).decode('raw_unicode_escape'))<|endoftext|>
1527,"<|endoftext|>split string 'abcdefg' into a list of characters: re.findall('\\w', 'abcdefg')<|endoftext|>"
1528,<|endoftext|>check whether a file `fname` exists: os.path.isfile(fname)<|endoftext|>
1529,"<|endoftext|>check whether file ""/path/to/file"" exists: my_file = Path('/path/to/file')
if my_file.is_file():
    pass<|endoftext|>"
1530,<|endoftext|>check whether file `file_path` exists: os.path.exists(file_path)<|endoftext|>
1531,"<|endoftext|>check whether a file ""/etc/password.txt"" exists: print(os.path.isfile('/etc/password.txt'))<|endoftext|>"
1532,"<|endoftext|>check whether a file ""/etc"" exists: print(os.path.isfile('/etc'))<|endoftext|>"
1533,"<|endoftext|>check whether a path ""/does/not/exist"" exists: print(os.path.exists('/does/not/exist'))<|endoftext|>"
1534,"<|endoftext|>check whether a file ""/does/not/exist"" exists: print(os.path.isfile('/does/not/exist'))<|endoftext|>"
1535,"<|endoftext|>check whether a path ""/etc"" exists: print(os.path.exists('/etc'))<|endoftext|>"
1536,"<|endoftext|>check whether a path ""/etc/password.txt"" exists: print(os.path.exists('/etc/password.txt'))<|endoftext|>"
1537,"<|endoftext|>split string ""a;bcd,ef g"" on delimiters ';' and ',': """"""a;bcd,ef g"""""".replace(';', ' ').replace(',', ' ').split()<|endoftext|>"
1538,<|endoftext|>get a list each value `i` in the implicit tuple `range(3)`: list(i for i in range(3))<|endoftext|>
1539,<|endoftext|>add field names as headers in csv constructor `writer`: writer.writeheader()<|endoftext|>
1540,"<|endoftext|>flatten a tuple `l`: [(a, b, c) for a, (b, c) in l]<|endoftext|>"
1541,"<|endoftext|>convert 3652458 to string represent a 32bit hex number: """"""0x{0:08X}"""""".format(3652458)<|endoftext|>"
1542,"<|endoftext|>convert a python dictionary `d` to a list of tuples: [(v, k) for k, v in list(d.items())]<|endoftext|>"
1543,"<|endoftext|>convert dictionary of pairs `d` to a list of tuples: [(v, k) for k, v in d.items()]<|endoftext|>"
1544,"<|endoftext|>convert python 2 dictionary `a` to a list of tuples where the value is the first tuple element and the key is the second tuple element: [(v, k) for k, v in a.items()]<|endoftext|>"
1545,"<|endoftext|>convert a python dictionary 'a' to a list of tuples: [(k, v) for k, v in a.items()]<|endoftext|>"
1546,"<|endoftext|>convert a list of hex byte strings `['BB', 'A7', 'F6', '9E']` to a list of hex integers: [int(x, 16) for x in ['BB', 'A7', 'F6', '9E']]<|endoftext|>"
1547,"<|endoftext|>convert the elements of list `L` from hex byte strings to hex integers: [int(x, 16) for x in L]<|endoftext|>"
1548,"<|endoftext|>assign values to two variables, `var1` and `var2` from user input response to `'Enter two numbers here: ` split on whitespace: var1, var2 = input('Enter two numbers here: ').split()<|endoftext|>"
1549,<|endoftext|>Filter a json from a key-value pair as `{'fixed_key_1': 'foo2'}` in Django: Test.objects.filter(actions__contains=[{'fixed_key_1': 'foo2'}])<|endoftext|>
1550,"<|endoftext|>create a list containing a four elements long tuples of permutations of binary values: itertools.product(list(range(2)), repeat=4)<|endoftext|>"
1551,<|endoftext|>get yesterday's date as a string in `YYYY-MM-DD` format using timedelta: (datetime.now() - timedelta(1)).strftime('%Y-%m-%d')<|endoftext|>
1552,"<|endoftext|>Get the dot product of matrix `[1,0,0,1,0,0]` and matrix `[[0,1],[1,1],[1,0],[1,0],[1,1],[0,1]]`: np.dot([1, 0, 0, 1, 0, 0], [[0, 1], [1, 1], [1, 0], [1, 0], [1, 1], [0, 1]])<|endoftext|>"
1553,"<|endoftext|>convert date strings in pandas dataframe column`df['date']` to pandas timestamps using the format '%d%b%Y': df['date'] = pd.to_datetime(df['date'], format='%d%b%Y')<|endoftext|>"
1554,"<|endoftext|>Importing file `file` from folder '/path/to/application/app/folder': sys.path.insert(0, '/path/to/application/app/folder')
import file<|endoftext|>"
1555,"<|endoftext|>do a `left` merge of dataframes `x` and `y` on the column `state` and sort by `index`: x.reset_index().merge(y, how='left', on='state', sort=False).sort('index')<|endoftext|>"
1556,"<|endoftext|>Create a default empty json object if no json is available in request parameter `mydata`: json.loads(request.POST.get('mydata', '{}'))<|endoftext|>"
1557,"<|endoftext|>get a list of tuples of every three consecutive items in list `[1, 2, 3, 4, 5, 6, 7, 8, 9]`: list(zip(*((iter([1, 2, 3, 4, 5, 6, 7, 8, 9]),) * 3)))<|endoftext|>"
1558,"<|endoftext|>slice list `[1, 2, 3, 4, 5, 6, 7]` into lists of two elements each: list(grouper(2, [1, 2, 3, 4, 5, 6, 7]))<|endoftext|>"
1560,"<|endoftext|>Sort list `keys` based on its elements' dot-seperated numbers: keys.sort(key=lambda x: map(int, x.split('.')))<|endoftext|>"
1561,<|endoftext|>Sort a list of integers `keys` where each value is in string format: keys.sort(key=lambda x: [int(y) for y in x.split('.')])<|endoftext|>
1562,"<|endoftext|>convert a 3d array `img` of dimensions 4x2x3 to a 2d array   of dimensions 3x8: img.transpose(2, 0, 1).reshape(3, -1)<|endoftext|>"
1563,"<|endoftext|>replacing 'ABC' and 'AB' values in column 'BrandName' of dataframe `df` with 'A': df['BrandName'].replace(['ABC', 'AB'], 'A')<|endoftext|>"
1564,"<|endoftext|>replace values `['ABC', 'AB']` in a column 'BrandName' of  pandas dataframe `df` with another value 'A': df['BrandName'] = df['BrandName'].replace(['ABC', 'AB'], 'A')<|endoftext|>"
1565,"<|endoftext|>Subtract the mean of each row in dataframe `df` from the corresponding row's elements: df.sub(df.mean(axis=1), axis=0)<|endoftext|>"
